text,label
Why was my virtual card rejected?,72
Can I change my pin at a cash machine?,21
Can I electronically transfer funds into my account from my American Express?,54
How and where can I find the identity checks?,69
Is there a fee to exchange foreign money?,31
What can I use my card to pay for?,10
How long do I have to wait for the transfer to be finalized?,48
Explain why my top up would be reverted.,61
Do you guys accept Visa or Mastercard?,73
Which ATM's can I use to make a withdrawal?,3
How do you Top Up on the apple watch?,2
How do I set up my card PIN?,38
Where do you need to live to receive card,43
My card payment was cancelled.,53
You sent me a card and now I want to link it.,13
I need help resetting my passcode to access my app.,44
Can I reset my password?  I don't know what it is.,44
There is a direct debit charge on my account that I don't recognize.,28
"I might be paranoid, but someone may be using my card.",22
I attempted to get cash in the ATM but it was not authorized,26
What happened to my top-up? I think it was cancelled.,61
I would like to get a Visa card,73
"If I need to do a quick transfer from China, how long should I expect the transfer to take?",67
Tell me if there is a limit to top-up.,60
Can I get an update on my replacement card?,11
How do I get my card to work?,14
I no longer have my phone.,42
What steps do I need to do to delete my account?,55
My card has gone missing.,41
What do I do if the ATM swallowed my card?,18
"How long does it take to transfer from china? Is there a way to transfer it quickly, I need it urgently?",67
Are there a certain amount of transactions i can do with one disposable card?,29
"If I exchange currencies frequently, is there a discount?",31
I did not get the item I ordered.  How should I go about this?  Should I just cancel my order or my payment?  Please help me.,52
A transaction is repeated several times on my account.,63
Why won't my card work.,14
"Hi, I have been transferring money to my friends since morning, but all my transactions were getting failed. Can you please look into this issue.",35
lost my card in atm,18
I want to close my account due to poor customer service.,55
Where are my funds being sourced from?,70
Can I link my card I previously received?,13
How long does a transfer take?,48
You did not give me the correct exchange rate for an item that I bought.,17
How does one send me money?,50
"I forgot my phone at the hotel, so I can't access the app.",42
How do I create a disposable virtual card?,37
How do I get extra cards?,39
A withdrawal is showing that I don't recognize,20
I used my pin too many times.,49
I want to have an item refunded can I do that?,52
Where is my top-up generated from?,70
Can you help my fix my contactless?,23
Do you deal with EUR?,36
Do I have to pay for a second card?,39
Where do I go to get my new card linked?,13
My top up didn't work.,59
I recently bought an item using my card and I was charged an extra fee why is this?,15
What fiat currencies can I use for holding and exchanging?,36
I would like to add money to my account through my American Express.,54
There is unusual activity on my account and I believe someone took my card.,22
What steps do I need to get another card?,39
I need to stop a transaction that I made.,8
"I need your help to check my account, please! My card keeps being declined at the ATM, and I've already tried two different ones!",26
Where do I order a virtual card?,40
"I need help to resolve mix up on my card payment. My account shows the money was taken out and then put back in the account. Then I received a message from the seller, It said that they did not get my payment.",53
I don't know where to look to find my PIN.,38
I believe that a card payment I made was cancelled.,53
Why am I being charged a fee for transferring money?,64
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11
Why can't I withdraw cash?,26
I topped up my account but the money isn't there now.,62
If there isn't much money left can it automatically top-up?,4
The conversion rate on the ATM that I used with foreign currency was wrong.,76
Can I get an account for my daughter?,1
Where can I locate my PIN at?,38
Is there a maximum i can top up?,60
Why do you need so much id info from me?,74
Why do we need to verify top-ups?,71
When will my transfer post to my account?,67
what I need to verify my account,74
Why haven't I been given a virtual card yet?,40
My transfer did not seem to work.,35
What's the process for ID verification?,69
I tried to use my disposable virtual card to pay a subscription to the gym and it got rejected. Any ideas why?,72
Can I change my PIN at my local bank?,21
Do you charge for making a withdrawal? I took some money out of my account earlier and I was charged for this.,19
I'd like to have another card,39
I need to know where do my funds come from,70
My friends would like to add to my account. What is the procedure?,62
What do I need to do to get my salary through this?,50
The app is having trouble verifying my identity.,68
Can I top up?,60
Where can I modify my details?,30
Why would a cash withdrawal be pending?,46
How do I go about getting hold of a virtual card?,40
Please help me.  My disposable virtual card won't work right.,72
Will you send me a new card in China?,9
So what about the card PIN?,38
Why did I get less cash than what I asked in the ATM?,75
"How do I reset my PIN, I can't seem to use my card?",49
Is there a location near me that i can change my PIN?,21
Is there a top-up limit that I have to stay under during a given period of time?,60
